smiles,mol,num_of_C_atoms,num_of_O_atoms,num_of_N_atoms,num_of_P_atoms,num_of_S_atoms
CC(C)(C)c1ccc2occ(CC(=O)Nc3ccccc3F)c2c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c4fa58c0>,20,2,1,0,0
C[C@@H]1CC(Nc2cncc(-c3nncn3C)c2)C[C@@H](C)C1,<rdkit.Chem.rdchem.Mol object at 0x7f09c4fa5930>,16,0,5,0,0
N#Cc1ccc(-c2ccc(O[C@@H](C(=O)N3CCCC3)c3ccccc3)cc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c4fa5770>,25,2,2,0,0
CCOC(=O)[C@@H]1CCCN(C(=O)c2nc(-c3ccc(C)cc3)n3c2CCCCC3)C1,<rdkit.Chem.rdchem.Mol object at 0x7f09c4fa57e0>,24,3,3,0,0
N#CC1=C(SCC(=O)Nc2cccc(Cl)c2)N=C([O-])[C@H](C#N)C12CCCCC2,<rdkit.Chem.rdchem.Mol object at 0x7f09c4fa5620>,20,2,4,0,1
CC[NH+](CC)[C@](C)(CC)[C@H](O)c1cscc1Br,<rdkit.Chem.rdchem.Mol object at 0x7f09c4fa6110>,13,1,1,0,1
COc1ccc(C(=O)N(C)[C@@H](C)C/C(N)=N/O)cc1O,<rdkit.Chem.rdchem.Mol object at 0x7f09c4fa55b0>,13,4,3,0,0
O=C(Nc1nc[nH]n1)c1cccnc1Nc1cccc(F)c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c4fa6420>,14,1,6,0,0
Cc1c(/C=N/c2cc(Br)ccn2)c(O)n2c(nc3ccccc32)c1C#N,<rdkit.Chem.rdchem.Mol object at 0x7f09c4fa6340>,19,1,5,0,0
C[C@@H]1CN(C(=O)c2cc(Br)cn2C)CC[C@H]1[NH3+],<rdkit.Chem.rdchem.Mol object at 0x7f09c4fa63b0>,12,1,3,0,0
CCOc1ccc(OCC)c([C@H]2C(C#N)=C(N)N(c3ccccc3C(F)(F)F)C3=C2C(=O)CCC3)c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c4fa62d0>,27,3,3,0,0
Cc1ccc2nc(S[C@H](C)C(=O)NC3CCC(C)CC3)n(C)c(=O)c2c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c4fa6180>,20,2,3,0,1
O=C(N1CCc2c(F)ccc(F)c2C1)C1(O)Cc2ccccc2C1,<rdkit.Chem.rdchem.Mol object at 0x7f09c4fa5d90>,19,2,1,0,0
Cc1ccccc1C(=O)N1CCC2(CC1)C[C@H](c1ccccc1)C(=O)N2C,<rdkit.Chem.rdchem.Mol object at 0x7f09c4fa5d20>,23,2,2,0,0
CCCc1cc(NC(=O)CN2C(=O)NC3(CCC(C)CC3)C2=O)n(C)n1,<rdkit.Chem.rdchem.Mol object at 0x7f09c4fa5cb0>,18,3,5,0,0
CC(C)Cc1nc(SCC(=O)NC[C@@H]2CCCO2)c2c(=O)n(C)c(=O)n(C)c2n1,<rdkit.Chem.rdchem.Mol object at 0x7f09c4fa5c40>,19,4,5,0,1
Cc1ccc(CNC(=O)c2ccccc2NC(=O)[C@@H]2CC(=O)N(c3ccc(C)cc3)C2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c4fa5bd0>,27,3,3,0,0
CCCCC(=O)NC(=S)Nc1ccccc1C(=O)N1CCOCC1,<rdkit.Chem.rdchem.Mol object at 0x7f09c4fa5b60>,17,3,3,0,1
Cc1c(NC(=O)CSc2nc3sc4c(c3c(=O)[nH]2)CCCC4)c(=O)n(-c2ccccc2)n1C,<rdkit.Chem.rdchem.Mol object at 0x7f09c4fa5af0>,23,3,5,0,2
CC(C)[C@@H](Oc1cccc(Cl)c1)C(=O)N1CCC(n2cccn2)CC1,<rdkit.Chem.rdchem.Mol object at 0x7f09c4fa5a80>,19,2,3,0,0
CCN(CC)C(=O)C[C@@H](C)[NH2+][C@H](C)c1cccc(F)c1F,<rdkit.Chem.rdchem.Mol object at 0x7f09c4fa5a10>,16,1,2,0,0
Cc1nc2c(c(Nc3ncc(C)s3)n1)CCN(C(=O)CCc1ccccc1)C2,<rdkit.Chem.rdchem.Mol object at 0x7f09c4fa5700>,21,1,5,0,1
O=C(NCCNC(=O)N1C[C@H]2CC=CC[C@@H]2C1)c1cccnc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c7fa7450>,17,2,4,0,0
O=c1n(CCO)c2ccccc2n1CCO,<rdkit.Chem.rdchem.Mol object at 0x7f09c7fa6b20>,11,3,2,0,0
COC(=O)Cc1csc(NC(=O)Cc2coc3cc(C)ccc23)n1,<rdkit.Chem.rdchem.Mol object at 0x7f09c7fa6810>,17,4,2,0,1
