,smiles
0,O=P
1,O=C
2,O=N
3,O=S
4,O=[C@@H]
5,O=[C@H]
6,O=[N+]
7,O=I
8,O=P(O)(O)
9,O=P(=O)(O)O
10,O=CC
11,O=P(=O)(O)
12,O=CC(=O)O
13,O=CCNS(=O)(=O)
14,O=CCCC
15,O=CCN
16,O=Cc1ccccc1
17,O=CCOCC
18,O=CC(=O)N
19,O=NC(=O)
20,O=C(F)
21,O=C(F)(F)
22,O=CC(C(=O)O)
23,O=CC(O)
24,O=C1CCCCC1
25,O=CC(=O)
26,O=CC(C)
27,O=CCNC(=O)
28,O=CCS
29,O=CCO
30,O=CCCO
31,O=C(C(=O)O)
32,O=C(C)
33,O=CN
34,O=CCOC(=O)
35,O=CO
36,O=S(=O)(=O)
37,O=CCN(CC)C(=O)
38,OPC
39,OPN
40,OPS
41,OP[C@@H]
42,OP[C@H]
43,OPF
44,OP[N+]
45,OP[O-]
46,OPCl
47,OPI
48,OPP(O)(O)
49,OPP(=O)(O)O
50,OPCC
51,OPP(=O)(O)
52,OPCC(=O)O
53,OPCCNS(=O)(=O)
54,OPCCCC
55,OPCCN
56,OPCc1ccccc1
57,OPCCOCC
58,OPCC(=O)N
59,OPOCC
60,OPNC(=O)
61,OPC(F)
62,OPC(F)(F)
63,OPC(F)(F)F
64,OPCC(C(=O)O)
65,OPc1ccccn1
66,OPc1ccccc1
67,OPCC(O)
68,OPC1CCCCC1
69,OPC(=O)O
70,OPCC(=O)
71,OPCC(C)
72,OPCCNC(=O)
73,OPCCS
74,OPCCO
75,OP=O
76,OPCCCO
77,OPC(C(=O)O)
78,OPC(C)
79,OPC(C)=O
80,OP(O)
81,OPc1ccc([N+](=O)[O-])cc1
82,OPCN
83,OPCCOC(=O)
84,OPOCO
85,OPCO
86,OPS(=O)(=O)
87,OPc2ccccc2
88,OPOCCOCC
89,OPOC(=O)
90,OP/N
91,OP=N
92,OPCCN(CC)C(=O)
93,OPC(=O)N(CC)
94,O(P(=O)(O)O)
95,O(C(=O)O)
96,O(CC(=O)O)
97,O(c2ccc(O)cc2)
98,O(CCCO)
99,O(O)
100,O(CCC(=O)O)
101,O(C(F)(F)F)
102,O(c1ccccn1)
103,O(CCO)
104,O(=O)
105,O(c1ccccc1)
106,O(C(C)=O)
107,O(S(=O)(=O)O)
108,O(c2ccccc2)
109,O(C)
110,O(C)O
111,O(CC)
112,OCN
113,OCS
114,OC[C@@H]
115,OC[C@H]
116,OCF
117,OC[N+]
118,OC[O-]
119,OCCl
120,OCI
121,OCP(O)(O)
122,OCP(=O)(O)O
123,OCCC
124,OCP(=O)(O)
125,OCCC(=O)O
126,OCCCNS(=O)(=O)
127,OCCCCC
128,OCCCN
129,OCCc1ccccc1
130,OCCCOCC
131,OCCC(=O)N
132,OCOCC
133,OCNC(=O)
134,OCC(F)
135,OCC(F)(F)
136,OCC(F)(F)F
137,OCCC(C(=O)O)
138,OCc1ccccn1
139,OCc1ccccc1
140,OCCC(O)
141,OCC1CCCCC1
142,OCC(=O)O
143,OCCC(=O)
144,OCCC(C)
145,OCCCNC(=O)
146,OCCCS
147,OCCCO
148,OC=O
149,OCCCCO
150,OCC(C(=O)O)
151,OCC(C)
152,OCC(C)=O
153,OC(O)
154,OCc1ccc([N+](=O)[O-])cc1
155,OCCN
156,OCCCOC(=O)
157,OCOCO
158,OCCO
159,OCS(=O)(=O)
160,OCc2ccccc2
161,OCOCCOCC
162,OCOC(=O)
163,OC/N
164,OC=N
165,OCCCN(CC)C(=O)
166,OCC(=O)N(CC)
167,ONS
168,ON[C@@H]
169,ON[C@H]
170,ONF
171,ON[N+]
172,ON[O-]
173,ONCl
174,ONI
175,ONP(O)(O)
176,ONP(=O)(O)O
177,ONCC
178,ONP(=O)(O)
179,ONCC(=O)O
180,ONCCNS(=O)(=O)
181,ONCCCC
182,ONCCN
183,ONCc1ccccc1
184,ONCCOCC
185,ONCC(=O)N
186,ONOCC
187,ONNC(=O)
188,ONC(F)
189,ONC(F)(F)
190,ONC(F)(F)F
191,ONCC(C(=O)O)
192,ONc1ccccn1
193,ONc1ccccc1
194,ONCC(O)
195,ONC1CCCCC1
196,ONC(=O)O
197,ONCC(=O)
198,ONCC(C)
199,ONCCNC(=O)
200,ONCCS
201,ONCCO
202,ON=O
203,ONCCCO
204,ONC(C(=O)O)
205,ONC(C)
206,ONC(C)=O
207,ON(O)
208,ONc1ccc([N+](=O)[O-])cc1
209,ONCN
210,ONCCOC(=O)
211,ONOCO
212,ONCO
213,ONS(=O)(=O)
214,ONc2ccccc2
215,ONOCCOCC
216,ONOC(=O)
217,ON/N
218,ON=N
219,ONCCN(CC)C(=O)
220,ONC(=O)N(CC)
221,O1CC1
222,O1CN1
223,O1CCNCC1
224,O1CCCC1
225,O1OCC1
226,O1CCOCC1
227,O1CCC1
228,O1CCN1
229,O2Cn2
230,O2CCN2
231,O2CN2
232,O2cc2
233,OS[C@@H]
234,OS[C@H]
235,OSF
236,OS[N+]
237,OS[O-]
238,OSCl
239,OSI
240,OSP(O)(O)
241,OSP(=O)(O)O
242,OSCC
243,OSP(=O)(O)
244,OSCC(=O)O
245,OSCCNS(=O)(=O)
246,OSCCCC
247,OSCCN
248,OSCc1ccccc1
249,OSCCOCC
250,OSCC(=O)N
251,OSOCC
252,OSNC(=O)
253,OSC(F)
254,OSC(F)(F)
255,OSC(F)(F)F
256,OSCC(C(=O)O)
257,OSc1ccccn1
258,OSc1ccccc1
259,OSCC(O)
260,OSC1CCCCC1
261,OSC(=O)O
262,OSCC(=O)
263,OSCC(C)
264,OSCCNC(=O)
265,OSCCS
266,OSCCO
267,OS=O
268,OSCCCO
269,OSC(C(=O)O)
270,OSC(C)
271,OSC(C)=O
272,OS(O)
273,OSc1ccc([N+](=O)[O-])cc1
274,OSCN
275,OSCCOC(=O)
276,OSOCO
277,OSCO
278,OSS(=O)(=O)
279,OSc2ccccc2
280,OSOCCOCC
281,OSOC(=O)
282,OS/N
283,OS=N
284,OSCCN(CC)C(=O)
285,OSC(=O)N(CC)
286,O[C@@H][C@H]
287,O[C@@H]F
288,O[C@@H][N+]
289,O[C@@H][O-]
290,O[C@@H]Cl
291,O[C@@H]I
292,O[C@@H]P(O)(O)
293,O[C@@H]P(=O)(O)O
294,O[C@@H]CC
295,O[C@@H]P(=O)(O)
296,O[C@@H]CC(=O)O
297,O[C@@H]CCNS(=O)(=O)
298,O[C@@H]CCCC
299,O[C@@H]CCN
300,O[C@@H]Cc1ccccc1
301,O[C@@H]CCOCC
302,O[C@@H]CC(=O)N
303,O[C@@H]OCC
304,O[C@@H]NC(=O)
305,O[C@@H]C(F)
306,O[C@@H]C(F)(F)
307,O[C@@H]C(F)(F)F
308,O[C@@H]CC(C(=O)O)
309,O[C@@H]c1ccccn1
310,O[C@@H]c1ccccc1
311,O[C@@H]CC(O)
312,O[C@@H]C1CCCCC1
313,O[C@@H]C(=O)O
314,O[C@@H]CC(=O)
315,O[C@@H]CC(C)
316,O[C@@H]CCNC(=O)
317,O[C@@H]CCS
318,O[C@@H]CCO
319,O[C@@H]=O
320,O[C@@H]CCCO
321,O[C@@H]C(C(=O)O)
322,O[C@@H]C(C)
323,O[C@@H]C(C)=O
324,O[C@@H](O)
325,O[C@@H]c1ccc([N+](=O)[O-])cc1
326,O[C@@H]CN
327,O[C@@H]CCOC(=O)
328,O[C@@H]OCO
329,O[C@@H]CO
330,O[C@@H]S(=O)(=O)
331,O[C@@H]c2ccccc2
332,O[C@@H]OCCOCC
333,O[C@@H]OC(=O)
334,O[C@@H]/N
335,O[C@@H]=N
336,O[C@@H]CCN(CC)C(=O)
337,O[C@@H]C(=O)N(CC)
338,O[C@H]F
339,O[C@H][N+]
340,O[C@H][O-]
341,O[C@H]Cl
342,O[C@H]I
343,O[C@H]P(O)(O)
344,O[C@H]P(=O)(O)O
345,O[C@H]CC
346,O[C@H]P(=O)(O)
347,O[C@H]CC(=O)O
348,O[C@H]CCNS(=O)(=O)
349,O[C@H]CCCC
350,O[C@H]CCN
351,O[C@H]Cc1ccccc1
352,O[C@H]CCOCC
353,O[C@H]CC(=O)N
354,O[C@H]OCC
355,O[C@H]NC(=O)
356,O[C@H]C(F)
357,O[C@H]C(F)(F)
358,O[C@H]C(F)(F)F
359,O[C@H]CC(C(=O)O)
360,O[C@H]c1ccccn1
361,O[C@H]c1ccccc1
362,O[C@H]CC(O)
363,O[C@H]C1CCCCC1
364,O[C@H]C(=O)O
365,O[C@H]CC(=O)
366,O[C@H]CC(C)
367,O[C@H]CCNC(=O)
368,O[C@H]CCS
369,O[C@H]CCO
370,O[C@H]=O
371,O[C@H]CCCO
372,O[C@H]C(C(=O)O)
373,O[C@H]C(C)
374,O[C@H]C(C)=O
375,O[C@H](O)
376,O[C@H]c1ccc([N+](=O)[O-])cc1
377,O[C@H]CN
378,O[C@H]CCOC(=O)
379,O[C@H]OCO
380,O[C@H]CO
381,O[C@H]S(=O)(=O)
382,O[C@H]c2ccccc2
383,O[C@H]OCCOCC
